ID,Address,Name,Latitude,Longitude,Radius,Tags,Notes,Type
36812705,3145 METEOR CRATER ROAD  ODESSA TX 79766,Gas 1161,31.784697,-102.477112,75,,,Normal Geofence
36812706,2850 SKOKIE HIGHWAY  NORTH CHICAGO IL 60064,Gas 87459,42.307362,-87.876915,75,,,Normal Geofence
36812707,8150 INDIANAPOLIS BOULEVA RD HIGHLAND IN 46322,Gas 31,41.567307,-87.472973,75,,,Normal Geofence
36812708,907 KNOX ROAD  MCLEANSVILLE NC 27301,Gas 7937,36.060899,-79.662183,75,,,Normal Geofence
36812709,66 NJ-173 WEST  HAMPTON NJ 8827,Gas 190,40.636946,-74.968481,75,,,Normal Geofence
36812710,825 NORTH LOOP ROAD  SULLIVAN MO 63080,Gas 673,38.225515,-91.158996,75,,,Normal Geofence
36812711,"935 Raymond Rd N  Battle Creek, MI MI 49014",Kellogg's,42.320781,-85.143081,75,,,Normal Geofence
36812712,3500 W County Road 0 NS  Frankfort IN 46041,Conagra Frankfort,40.289198,-86.572684,75,,,Normal Geofence
36812713,1343 ROCK BARN ROAD  CONOVER NC 28613,Gas 7971,35.721086,-81.189195,75,,,Normal Geofence
36812714,685 HIGHWAY 80 EAST  PEARL MS 39208,Gas 678,32.277377,-90.160437,75,,,Normal Geofence
36812715,122000 E. BROWNS GULCH RO AD BUTTE MT 59701,Gas 924,46.007251,-112.607629,75,,,Normal Geofence
36812716,6505 JACK RABIT LANE  BELGRADE MT 59714,Gas 968,45.765338,-111.186017,75,,,Normal Geofence
36812717,15913 Wingate Rd  Maple Heights OH 44137,Grand WorldWide,41.404933,-81.568619,75,,,Normal Geofence
36812718,72508 M-40  Lawton MI 49065,Honee Bear Canning,42.155446,-85.853859,75,,,Normal Geofence
36812719,918 WEST ATLANTIC  EMPORIA VA 23847,Gas 898,36.704684,-77.553165,75,,,Normal Geofence
36812720,7900 STATE ROUTE 60  BARTOW FL 33830,Gas 1128,27.916326,-81.718119,75,,,Normal Geofence
36812721,650 CARROLLTON STREET  TEMPLE GA 30179,Gas 634,33.719482,-85.025338,75,,,Normal Geofence
36812722,5714 NORTH RHETT AVENUE  N. CHARLESTON SC 29406,Gas 1082,32.903636,-79.984659,75,,,Normal Geofence
36812723,3150 39TH ST SW SUITE A  FARGO ND 58104,Gas 685,46.833604,-96.844738,75,,,Normal Geofence
36812724,5360 ATHENS BOONESBORO RO AD LEXINGTON KY 40509,Gas 89651,37.963948,-84.39182,75,,,Normal Geofence
36812725,9738 PRINCETON GLENDALE R OAD CINCINNATI OH 45246,Gas 89367,39.314679,-84.463913,75,,,Normal Geofence
36812726,799 JEDBURG ROAD  SUMMERVILLE SC 29483,Gas 1068,33.080894,-80.210859,75,,,Normal Geofence
36812727,2519 LYNDALE AVE N  FARIBAULT MN 55021,Gas 84610,44.317347,-93.29515,75,,,Normal Geofence
36812728,4700 Fisher Rd  Columbus OH 43228,Vista Packaging,39.975176,-83.128623,75,,,Normal Geofence
36812729,Gas City IN 46933,Wal-Mart GC,40.479739,-85.592079,75,,,Normal Geofence
36812730,619 SOUTH SUNSHINE BOULEV ARD ELOY AZ 85231,Gas 458,32.738301,-111.549439,75,,,Normal Geofence
36812731,1775 S West St  Indianapolis IN 46225,Westrock INDY,39.742401,-86.164605,75,,,Normal Geofence
36812732,115 US-131 N  Three Rivers MI 49093,KFC,42.325054,-85.276679,75,,,Normal Geofence
36812733,616 S MAIN ST  SMITHS GROVE KY 42171,Gas 87179,37.04442,-86.209331,75,,,Normal Geofence
36812734,4091 JIMMIE DYESS PARKWAY  AUGUSTA GA 30909,Gas 65,33.480073,-82.131071,75,,,Normal Geofence
36812735,395 E. VISTA DRIVE  WEED CA 96094,Gas 137,41.398517,-122.376609,75,,,Normal Geofence
